Source,Reference_number,Duplicate_record,soil.id,Reference,Latitude_deg,Longitude_deg,Soil_type,Depth_cm,Ecosystem_type,climate,Temp_mean,q10calc,substrate,Q10,corg,norg,clay,ph
Hamdi2013,15,,62,Cussack et al. 2010,18.3_N,65.8_W,Upper-N,0 to 10,forest,warm,26,equal-C,Y,1.65,6.7,0.31,,3.9
Hamdi2013,16,,63,Dalias et al. 2001,43_09'N,3_08'E  ,Dalias-Clap,,forest,temperate,7,equal-C,N,,2.6,0.12,17.4,7.7
Hamdi2013,16,,63,Dalias et al. 2001,43_09'N,3_08'E  ,Dalias-Clap,,forest,temperate,13,equal-C,N,,2.6,0.12,17.4,7.7
Hamdi2013,16,,63,Dalias et al. 2001,43_09'N,3_08'E  ,Dalias-Clap,,forest,temperate,19.5,equal-C,N,,2.6,0.12,17.4,7.7
Hamdi2013,16,,63,Dalias et al. 2001,43_09'N,3_08'E  ,Dalias-Clap,,forest,temperate,26.5,equal-C,N,,2.6,0.12,17.4,7.7
Hamdi2013,16,,64,Dalias et al. 2001,50_37'N,3_40'W ,Dalias-Hald,,forest,temperate,7,equal-C,N,3.5,5.7,0.38,35,4.9
Hamdi2013,16,,64,Dalias et al. 2001,50_37'N,3_40'W ,Dalias-Hald,,forest,temperate,13,equal-C,N,3.4,5.7,0.38,35,4.9
Hamdi2013,16,,64,Dalias et al. 2001,50_37'N,3_40'W ,Dalias-Hald,,forest,temperate,19.5,equal-C,N,3.1,5.7,0.38,35,4.9
Hamdi2013,16,,64,Dalias et al. 2001,50_37'N,3_40'W ,Dalias-Hald,,forest,temperate,26.5,equal-C,N,3.4,5.7,0.38,35,4.9
Hamdi2013,16,,65,Dalias et al. 2001,43_07'N,2_45'E ,Dalias-ThezA1,,forest,temperate,7,equal-C,N,3.8,4.7,0.12,7.6,5.2
Hamdi2013,16,,65,Dalias et al. 2001,43_07'N,2_45'E ,Dalias-ThezA1,,forest,temperate,13,equal-C,N,2.8,4.7,0.12,7.6,5.2
Hamdi2013,16,,65,Dalias et al. 2001,43_07'N,2_45'E ,Dalias-ThezA1,,forest,temperate,19.5,equal-C,N,1.9,4.7,0.12,7.6,5.2
Hamdi2013,16,,65,Dalias et al. 2001,43_07'N,2_45'E ,Dalias-ThezA1,,forest,temperate,26.5,equal-C,N,1.3,4.7,0.12,7.6,5.2
Hamdi2013,16,,66,Dalias et al. 2001,43_07'N,2_45'E ,Dalias-ThezOh,,forest,temperate,7,equal-C,N,5.2,38.8,0.9,,4.3
Hamdi2013,16,,66,Dalias et al. 2001,43_07'N,2_45'E ,Dalias-ThezOh,,forest,temperate,13,equal-C,N,1.6,38.8,0.9,,4.3
Hamdi2013,16,,66,Dalias et al. 2001,43_07'N,2_45'E ,Dalias-ThezOh,,forest,temperate,19.5,equal-C,N,1.6,38.8,0.9,,4.3
Hamdi2013,16,,66,Dalias et al. 2001,43_07'N,2_45'E ,Dalias-ThezOh,,forest,temperate,26.5,equal-C,N,1.6,38.8,0.9,,4.3
Hamdi2013,16,,67,Dalias et al. 2001,64_00'N,21_05'E,Dalias-Vind,,forest,temperate,7,equal-C,N,4,44,1.17,,3.6
Hamdi2013,16,,67,Dalias et al. 2001,64_00'N,21_05'E,Dalias-Vind,,forest,temperate,13,equal-C,N,2,44,1.17,,3.6
Hamdi2013,16,,67,Dalias et al. 2001,64_00'N,21_05'E,Dalias-Vind,,forest,temperate,19.5,equal-C,N,0.8,44,1.17,,3.6
